numeropol,cout_prime,credit_card_number,credit_card_provider,credit_card_expire,freq_pmt
289,650.41,4224764126360331,Diners Club / Carte Blanche,09/27,1
290,830.61,6011072143236357,Diners Club / Carte Blanche,11/23,1
300,770.01,376182478525530,Discover,10/17,1
303,650.19,561229373593,Voyager,02/19,1
309,660.93,5255717771210275,JCB 16 digit,01/18,12
310,920.7,5559824991556694,VISA 16 digit,04/18,1
317,900.63,344429128461726,Maestro,12/17,12
321,890.64,4101751961220,JCB 16 digit,10/17,1
338,640.94,180032487010402,Discover,10/17,12
341,620.78,4535335295243,VISA 13 digit,09/18,1
347,1050.69,4386837752285,Diners Club / Carte Blanche,07/20,1
348,790.84,4064713183954471,JCB 15 digit,10/20,1
350,720.05,6011157438049449,JCB 16 digit,06/21,1
352,690.61,869974523693998,Diners Club / Carte Blanche,10/19,1
353,730.02,340079720651010,Diners Club / Carte Blanche,03/18,1
354,620.23,4234060915288,Discover,02/22,1
355,1030.43,379221104402842,VISA 16 digit,06/25,12
358,830.73,30534880513074,Diners Club / Carte Blanche,08/24,1
361,700.38,869917746980890,Mastercard,03/18,1
368,1040.45,342872986953965,American Express,01/18,1
369,1200.43,4025569329454,VISA 16 digit,01/18,12
379,600.59,4304950694217614,JCB 16 digit,11/18,1
385,740.27,5539285187815697,JCB 16 digit,05/19,1
390,950.59,4112089995000718,Voyager,12/17,1
399,750.22,4886788725723804,Mastercard,06/21,12
401,980.65,502019464127,Voyager,03/25,1
402,1000.95,4796258061592097,VISA 13 digit,05/18,1
403,950.66,869986405868894,JCB 16 digit,08/24,1
408,630.65,4479654766288,Discover,05/25,1
409,850.14,6011598023748558,JCB 15 digit,02/18,1
421,950.33,371664411843356,Diners Club / Carte Blanche,12/18,1
433,770.87,3112206176712760,Discover,06/18,1
440,780.63,4032872749873358,Maestro,10/19,1
446,1020.64,676335748056,Maestro,03/21,12
452,950.11,060441506049,Maestro,09/18,1
457,760.03,3528306166880037,VISA 13 digit,11/23,1
466,980.17,30595833484424,VISA 13 digit,02/18,12
467,990.2,502079627209,VISA 16 digit,02/19,1
468,980.99,3112103176921451,Diners Club / Carte Blanche,08/25,1
474,760.45,180050913120116,JCB 15 digit,03/19,1
475,610.09,869952815404886,Mastercard,01/21,1
485,720.05,3088704308272943,Diners Club / Carte Blanche,02/24,12
486,910.26,180074785987287,VISA 16 digit,08/18,1
487,1090.92,3158282085424354,Discover,03/21,12
488,810.93,5203774921326504,JCB 16 digit,02/18,12
489,1020.29,589362826275,Diners Club / Carte Blanche,11/22,1
495,1030.15,4412074718597,JCB 15 digit,12/18,12
497,640.52,343175349130449,VISA 16 digit,10/18,1
501,1130.65,3528559054420015,American Express,02/25,12
504,940.59,4576025731188,Maestro,07/18,1
508,1040.72,4000634135833166,JCB 16 digit,08/18,1
509,820.85,869900547528548,Mastercard,03/18,1
512,1080.71,30527924265149,JCB 16 digit,12/21,1
515,980.54,501869858743,VISA 13 digit,02/22,1
534,780.59,4932326123563532,JCB 15 digit,06/20,1
537,980.82,347032006383280,VISA 16 digit,09/19,1
540,1160.14,6011072554458649,VISA 16 digit,11/22,1
552,1040.66,180095676575766,VISA 16 digit,12/17,1
558,970.86,30101167426121,VISA 13 digit,01/18,1
562,830.85,869921492789273,VISA 16 digit,08/18,12
563,660.68,060464728447,Maestro,06/20,1
564,1040.99,4210613273349355,Maestro,09/25,1
568,1020.34,4123709755363,JCB 16 digit,07/18,1
576,1060.36,676185562698,JCB 15 digit,03/20,1
582,1150.48,675963407175,JCB 16 digit,02/19,1
587,640.01,30543932144366,Diners Club / Carte Blanche,03/18,1
588,680.26,30376447814680,Diners Club / Carte Blanche,10/18,1
594,740.82,210026946667194,VISA 16 digit,10/23,1
606,1100.85,4523872733451431,VISA 13 digit,11/21,1
624,900.78,4455589989252,VISA 16 digit,08/22,1
625,760.49,869936969517494,VISA 16 digit,04/21,1
630,670.7,502078249989,Discover,11/18,1
646,610.93,5514595530805420,Mastercard,04/18,12
649,700.91,060433075540,Voyager,04/18,1
658,930.52,3096304893423652,Discover,05/23,1
664,920.45,375753520524746,JCB 15 digit,11/21,1
666,1140.61,6011195847193747,Maestro,08/23,1
680,1000.87,4385072149256,JCB 16 digit,01/21,12
682,630.44,3088491583354212,VISA 13 digit,05/19,1
684,700.33,6011148618582739,JCB 16 digit,02/19,1
687,1130.03,180088309183264,American Express,02/18,1
693,950.76,630443622224,Maestro,09/25,1
696,1180.73,210086185935082,JCB 16 digit,06/22,1
697,880.3,372417319295339,Mastercard,10/24,1
699,670.26,630423080302,VISA 16 digit,09/20,1
711,660.66,3088420458086831,Maestro,03/18,1
712,610.03,6011807992002396,Voyager,11/24,1
730,1010.62,4605328539939,JCB 15 digit,05/22,1
743,670.76,3112971933800998,VISA 16 digit,04/18,1
786,1160.33,210072672500076,VISA 16 digit,01/23,1
802,1130.71,4002009388283,VISA 16 digit,08/18,12
806,670.79,676108759074,JCB 16 digit,07/18,1
818,950.49,4259507769266366,JCB 15 digit,08/19,1
821,1010.8,5407854659162745,VISA 16 digit,10/18,1
823,700.8,210014560173475,Mastercard,12/19,1
827,960.75,6011646399974348,Diners Club / Carte Blanche,12/18,12
831,630.43,589305259220,JCB 16 digit,01/26,1
837,670.16,3088560741658589,JCB 16 digit,11/18,1
844,1130.65,3528426419249788,VISA 16 digit,03/19,1
846,710.02,372657454154540,Diners Club / Carte Blanche,04/19,1
849,860.37,346944422608861,VISA 16 digit,05/19,1
854,970.96,3096964523809685,VISA 16 digit,11/19,1
880,600.18,4949567960461683,American Express,05/22,1
900,990.21,5480500170353715,VISA 13 digit,01/19,12
902,1150.3,3528709752348519,VISA 16 digit,12/20,12
906,1060.76,3337537529989427,VISA 13 digit,11/22,1
911,720.55,5161847247530064,JCB 15 digit,01/23,1
918,1070.63,4256103911898679,VISA 16 digit,08/22,1
921,780.08,4010409387110,JCB 16 digit,07/18,1
927,700.5,5576337927382100,Diners Club / Carte Blanche,03/18,1
933,770.48,6011088141604966,Mastercard,08/21,1
935,1200.26,3096724382762759,Voyager,11/18,12
936,1130.04,4133792594226841,Maestro,01/22,12
938,850.93,30437614166815,JCB 15 digit,07/18,1
960,1130.19,180049292800876,Maestro,09/20,12
965,630.88,3088826368071996,Diners Club / Carte Blanche,05/18,1
975,650.37,6011643453990203,Voyager,07/22,12
979,960.86,4800256618443529,JCB 16 digit,07/19,1
980,1090.58,869964977416491,American Express,11/17,1
995,980.42,4394032170063,VISA 13 digit,09/27,1
997,1070.98,180064816288169,Diners Club / Carte Blanche,04/20,12
1003,680.94,561215968026,JCB 16 digit,05/26,1
1008,800.98,676193130611,VISA 13 digit,04/20,1
1009,1160.58,5345823949153009,JCB 16 digit,07/18,1
1011,820.57,210047670848354,JCB 16 digit,08/19,1
1013,920.99,30469444050570,American Express,09/20,1
1018,1200.35,210018532154802,Discover,04/24,1
1027,990.96,5224414642412870,Discover,01/21,1
1028,870.57,3112248175982291,VISA 16 digit,12/17,1
1032,720.11,6011938731239468,VISA 16 digit,01/18,12
1035,800.57,869970387478393,Diners Club / Carte Blanche,01/21,1
1039,650.92,4686460272694158,Diners Club / Carte Blanche,11/19,1
1043,1090.45,3088310545055313,Mastercard,05/21,1
1044,1110.03,4821594170816210,Mastercard,08/19,1
1061,610.6,341582631067985,Discover,06/18,12
1073,970.82,6011886753350616,Diners Club / Carte Blanche,11/17,1
1078,1040.71,4952974180250637,VISA 16 digit,01/24,1
1085,910.59,210097681601292,VISA 13 digit,01/20,12
1087,960.96,378795778245992,Maestro,01/24,12
1098,920.45,676313865591,Voyager,12/24,1
1106,640.16,4120227326268493,Diners Club / Carte Blanche,06/26,12
1109,610.55,30398662986506,Mastercard,08/19,1
1117,1150.99,30286573944708,VISA 16 digit,07/18,1
1121,730.54,4514952717565,VISA 16 digit,06/18,1
1126,1150.91,6011042668014307,Discover,04/21,1
1129,970.53,210071143603527,Mastercard,11/19,1
1130,980.58,4874083769079,Maestro,09/23,1
1134,1080.51,30504943930979,VISA 16 digit,05/25,1
1135,670.71,5469350709929477,Discover,07/20,12
1140,660.86,5415462267319614,Discover,08/18,1
1152,1130.04,340582211297078,JCB 16 digit,02/18,1
1153,780.45,376480586071417,Voyager,08/27,1
1164,1140.77,4004833116969967,Mastercard,09/20,1
1173,730.17,4045713451939,JCB 15 digit,04/18,1
1178,1010.26,4369309255554661,Voyager,07/18,1
1179,800.22,3088834482435220,Maestro,09/20,12
1181,1180.23,3112800701296735,VISA 13 digit,07/18,1
1183,1010.79,180065395525590,Voyager,09/21,12
1184,660.99,5503384691080153,JCB 16 digit,05/18,1
1186,1010.6,30411514101339,Mastercard,04/23,1
1187,1050.22,210007071565890,JCB 16 digit,10/19,12
1192,930.47,30448364752639,VISA 16 digit,07/18,12
1198,1060.19,6011143060443464,American Express,02/22,1
1212,1200.02,30010104725976,JCB 16 digit,03/19,1
1218,810.8,3337262509325563,American Express,09/23,1
1225,1050.68,4044499386948,JCB 15 digit,06/19,1
1226,760.64,869907964126623,JCB 16 digit,03/20,12
1244,1010.01,4564491915907,JCB 16 digit,07/19,1
1249,900.53,869962717492764,JCB 15 digit,10/18,12
1255,760.33,869917911234727,JCB 16 digit,05/27,1
1259,800.03,501817434670,Mastercard,07/23,1
1262,720.91,3528620852926130,American Express,01/26,12
1263,770.39,6011823127159290,Maestro,04/20,1
1264,870.21,869949656440490,Diners Club / Carte Blanche,11/19,1
1268,910.65,6011701465682539,Mastercard,04/18,12
1275,660.61,6011850519821153,Diners Club / Carte Blanche,04/21,1
1280,1000.69,676353891416,Discover,08/23,1
1291,910.25,5156420705479955,Mastercard,04/18,1
1305,760.43,30598425363956,JCB 16 digit,08/18,12
1307,680.79,676173213338,American Express,05/20,1
1309,780.68,5339039069567179,American Express,06/18,1
1316,670.22,30118448217244,JCB 16 digit,09/18,1
1318,960.98,30501484994299,JCB 16 digit,02/18,1
1319,1140.73,6011337455129726,VISA 13 digit,02/21,1
1320,920.29,349371681856931,Diners Club / Carte Blanche,11/17,1
1321,1120.64,370615321331438,JCB 16 digit,01/18,1
1341,640.58,6011546208691598,Diners Club / Carte Blanche,12/19,1
1357,780.97,6011977792192687,JCB 15 digit,06/18,1
1358,770.77,4444581116049128,VISA 13 digit,05/20,1
1361,700.54,30462983063336,VISA 16 digit,06/18,1
1364,900.73,5125040492103127,Diners Club / Carte Blanche,03/19,1
1370,1200.66,30097453939084,JCB 16 digit,04/22,1
1377,790.21,3088986867892464,Mastercard,12/18,1
1383,1090.75,3112159098250684,JCB 15 digit,12/17,1
1396,830.2,4115330171564,JCB 16 digit,09/20,1
1399,940.85,869930229589849,JCB 16 digit,08/19,12
1400,960.94,342375034414790,Discover,08/18,12
1402,1190.31,372910772650412,American Express,12/19,1
1412,1110.87,346349541004606,Voyager,04/21,1
1422,1020.39,30064260579990,Diners Club / Carte Blanche,09/23,1
1423,1020.11,180091899862610,VISA 16 digit,12/18,1
1432,910.16,6011705916661448,VISA 16 digit,05/24,1
1436,900.19,3337377405154881,Maestro,11/23,1
1438,890.06,869943921796455,VISA 13 digit,05/18,12
1442,1080.82,4510424881583,VISA 16 digit,07/24,1
1454,880.16,345300803712650,JCB 15 digit,10/18,1
1466,780.49,869968348002526,VISA 16 digit,07/21,1
1475,1090.3,210030696491839,American Express,04/23,1
1476,660.54,6011771646108035,JCB 16 digit,03/21,1
1481,760.08,630475782250,Discover,08/18,1
1484,620.08,869990876406960,Diners Club / Carte Blanche,10/19,1
1485,720.87,6011434984116397,VISA 13 digit,03/21,12
1487,670.99,676387037283,Voyager,02/20,1
1493,670.73,4474494752454193,Discover,09/19,1
1496,1050.97,210096963611136,Discover,02/20,1
1498,970.55,630446148367,VISA 16 digit,02/23,12
1499,910.37,561277345451,VISA 13 digit,03/20,1
1501,1140.36,4143713203713,Maestro,04/24,1
1503,1130.3,5225567476644642,VISA 16 digit,11/25,1
1508,1060.08,4417070430378325,JCB 16 digit,11/19,1
1519,740.52,3112561007140346,Voyager,04/18,1
1528,950.31,4874206546290501,JCB 16 digit,06/20,1
1533,720.75,3528597043079757,Mastercard,12/20,1
1537,670.34,4397944830733608,Discover,02/22,1
1546,670.92,30094776569383,JCB 16 digit,11/22,1
1548,650.5,4674297381012,VISA 13 digit,03/19,12
1551,640.63,4234974849003,Diners Club / Carte Blanche,03/23,12
1555,1150.89,6011743699959499,Voyager,05/18,1
1565,730.27,5121787408811839,Mastercard,08/20,1
1566,690.53,4544024104823,JCB 16 digit,04/18,1
1577,940.81,501883947910,Diners Club / Carte Blanche,10/21,1
1585,1010.18,4489033990718945,JCB 15 digit,10/22,1
1600,1140.5,3112850525952310,Maestro,10/20,1
1605,880.26,869980496666531,VISA 16 digit,10/20,1
1608,890.1,3096133342340419,Maestro,07/21,1
1610,850.04,180082111213088,Diners Club / Carte Blanche,05/19,12
1614,1070.34,3337757256143556,Maestro,09/18,1
1619,610.54,3528921781701978,JCB 16 digit,03/20,1
1624,1020.69,373704639153119,VISA 16 digit,11/18,1
1627,840.54,210031054275111,JCB 16 digit,11/21,12
1630,820.3,3158625103118004,Voyager,05/19,12
1633,1130.85,4413845972075,American Express,03/19,12
1645,1180.08,379884570402263,VISA 16 digit,08/18,12
1646,1110.62,343583066514580,JCB 16 digit,05/19,12
1684,910.8,210005517453622,Voyager,09/26,12
1688,1090.64,210069364811381,JCB 15 digit,05/18,12
1692,1010.6,3088121292076059,Discover,02/18,1
1696,1120.53,869984424618986,JCB 15 digit,12/23,1
1697,880.66,3528835310039850,JCB 16 digit,10/20,1
1698,1020.88,5476346077984624,Maestro,07/21,1
1701,1040.67,3096525879957871,VISA 13 digit,08/20,1
1703,1060.69,5177660044996335,Diners Club / Carte Blanche,12/18,1
1706,810.73,3096500577409541,Voyager,10/17,1
1708,750.86,503887391814,JCB 16 digit,05/18,12
1714,1120.68,3528263374250851,Diners Club / Carte Blanche,02/21,1
1718,600.94,4029079060703124,Discover,03/19,1
1727,810.75,869951677465068,Voyager,06/18,1
1739,840.43,589366982223,American Express,01/25,1
1775,650.96,6011002943531814,VISA 13 digit,01/20,1
1780,1060.87,30242282246133,VISA 16 digit,08/21,12
1785,640.75,3158493505631540,Diners Club / Carte Blanche,06/22,1
1789,1150.67,630499126211,JCB 16 digit,09/18,1
1799,840.67,589301179661,Voyager,03/21,1
1803,940.28,180018508951039,VISA 16 digit,04/18,1
1805,1140.95,4625794155354751,American Express,01/20,1
1838,850.0,4224764754598319,Mastercard,12/19,1
1843,1200.13,377607699541493,VISA 13 digit,01/18,1
1847,860.44,341332713952385,VISA 13 digit,01/21,1
1849,1090.4,4047959478589975,JCB 15 digit,12/17,1
1851,1080.46,5268438457019550,JCB 16 digit,06/20,1
1855,1150.39,6011505213688650,JCB 15 digit,08/18,12
1870,900.02,180027824139237,VISA 16 digit,07/18,1
1872,910.67,561235265494,American Express,12/21,1
1879,950.56,345961588486917,Maestro,11/17,1
1883,780.75,5217301578852550,VISA 13 digit,08/21,1
1888,1110.3,3112145807927696,VISA 13 digit,07/18,1
1893,880.44,4650262616621810,Voyager,06/19,1
1906,630.58,5465878101903801,Mastercard,08/18,1
1923,760.89,4500381759484521,JCB 15 digit,07/21,1
1930,970.4,869908771571498,Diners Club / Carte Blanche,03/22,1
1934,930.13,4614889597949045,American Express,07/21,12
1938,790.92,4762858424075704,Discover,06/25,1
1969,610.44,373177566585779,Voyager,06/19,1
1975,1070.25,3088185598932430,VISA 16 digit,09/27,12
1984,830.37,3337180536808775,Maestro,03/25,1
1988,660.64,3096796213735204,VISA 16 digit,05/19,1
2000,1050.83,4890109024063798,Maestro,11/19,1
2001,880.5,30137824750636,Mastercard,07/21,1
2002,1190.44,180099842555827,Diners Club / Carte Blanche,10/17,1
2025,1110.5,869969538303880,Voyager,03/19,1
2050,1080.25,502050630552,Mastercard,05/19,1
2054,630.74,869977413084202,Maestro,05/19,1
2066,980.85,6011888200555953,Voyager,05/18,1
2068,1090.56,3096114097998502,American Express,02/18,1
2076,970.96,340685194041288,Maestro,03/24,1
2077,1100.9,5220894578646472,VISA 16 digit,12/20,12
2085,1200.43,869936595083655,Discover,11/17,1
2106,820.49,4302366822290112,JCB 16 digit,02/22,1
2109,1190.04,676326021919,Diners Club / Carte Blanche,01/21,12
2112,1200.26,30149429826414,VISA 13 digit,12/17,1
2113,1080.98,6011290330936825,VISA 16 digit,07/18,12
2123,660.43,3337054454029120,American Express,06/18,12
2129,1200.09,5159220786281040,Mastercard,11/19,1
2134,760.03,342102256906406,Maestro,10/17,1
2141,1020.61,676218914874,Voyager,09/19,1
2160,1120.46,5428765877530882,JCB 15 digit,05/18,1
2162,810.42,30352887319571,JCB 15 digit,03/19,1
2165,830.18,180020682314265,Voyager,03/20,1
2166,940.1,4586306239973279,JCB 16 digit,01/20,1
2168,1160.21,4236423350871,VISA 16 digit,02/19,1
2169,1100.31,4447755324141,Maestro,09/18,1
2193,670.05,3528782892453192,Diners Club / Carte Blanche,04/18,1
2194,860.9,869909654057142,JCB 16 digit,02/18,1
2198,780.17,869901867462656,Voyager,03/21,1
2211,760.11,869994714755349,Voyager,01/23,1
2215,890.12,210015819980800,Voyager,07/22,12
2219,740.32,4617174415776327,JCB 16 digit,10/19,1
2229,620.65,210093963489472,JCB 15 digit,10/21,1
2231,1080.51,30314199977660,VISA 16 digit,10/24,1
2287,980.61,3112053611661677,VISA 13 digit,10/22,12
2319,870.94,3088862555607250,JCB 15 digit,08/22,1
2321,710.76,4511592583142,Maestro,09/19,1
2326,1120.8,5475732915513058,Diners Club / Carte Blanche,11/17,1
2333,980.18,3528056233880128,JCB 15 digit,11/20,1
2339,920.2,30017656975008,JCB 15 digit,12/17,12
2348,720.84,5254126138988931,American Express,09/21,1
2360,930.52,5375183992812032,Mastercard,03/18,1
2379,650.59,869926193805286,VISA 16 digit,02/20,1
2382,710.81,180050580591441,VISA 16 digit,08/18,1
2413,1170.76,6011473065293410,JCB 15 digit,08/18,1
2417,620.53,30369396360938,JCB 16 digit,09/19,1
2429,1000.99,180040141436343,Diners Club / Carte Blanche,10/18,1
2444,1060.66,6011763954305691,VISA 13 digit,11/17,1
2450,800.6,3337911400774309,Maestro,12/23,1
2458,650.92,4514869171606899,Voyager,06/24,1
2459,840.97,4826179879170,JCB 15 digit,03/24,1
2467,790.25,4583592927757768,VISA 16 digit,02/22,12
2476,1030.28,3112400361830350,VISA 13 digit,10/17,1
2477,1160.2,5391975076277911,VISA 16 digit,05/19,12
2497,990.14,3112482896005963,JCB 16 digit,12/18,1
2498,610.08,3096718303241414,JCB 16 digit,10/20,1
2500,1040.75,503815025401,American Express,02/20,12
2504,740.92,6011799364062969,Maestro,05/27,1
2514,880.36,4507117875219109,Voyager,12/25,1
2516,840.6,5227471667794944,Discover,05/18,12
2523,940.51,3158583652402404,Diners Club / Carte Blanche,06/18,12
2525,1130.68,3096198215043655,Discover,09/18,1
2535,1030.35,376484307536914,Discover,02/23,1
2542,1030.32,4766265847955916,VISA 13 digit,02/22,1
2543,940.02,371870664416812,Discover,10/19,1
2556,780.91,4514792829346983,Mastercard,10/22,1
2568,670.46,5315644260779677,Mastercard,11/20,1
2597,630.28,6011154611510511,Discover,09/19,12
2608,1090.42,6011181623472232,Diners Club / Carte Blanche,06/19,1
2615,900.32,30466356271269,JCB 16 digit,01/19,1
2619,870.98,4659885123724957,VISA 16 digit,04/20,1
2629,1000.16,676217892709,Mastercard,04/19,1
2645,940.27,3088488148566140,Discover,06/18,1
2688,620.54,3112569350540848,JCB 16 digit,09/20,1
2694,670.42,210078965254735,JCB 16 digit,09/20,1
2733,630.86,5358819633196829,Maestro,11/17,12
2744,920.33,4902374677287,VISA 13 digit,09/19,12
2746,1000.57,376115475100766,JCB 16 digit,01/20,1
2750,880.32,180052691971314,Mastercard,09/21,1
2752,840.75,4068571723702,JCB 16 digit,10/17,12
2759,640.27,3088117044068535,JCB 16 digit,10/17,1
2768,770.8,4386535026495,Maestro,12/22,1
2777,920.58,4842817791032,Mastercard,09/19,1
2780,1070.31,4402288912633655,VISA 16 digit,10/24,1
2781,1160.55,639057898244,Voyager,12/19,1
2788,630.53,3158383397342621,VISA 16 digit,07/20,1
2795,940.17,6011206178977028,JCB 16 digit,05/24,1
2803,840.32,869921265878519,Maestro,05/18,1
2806,880.63,30477081839510,JCB 15 digit,06/19,12
2845,770.36,30592439656729,American Express,07/20,1
2848,1120.74,6011372454313336,VISA 13 digit,03/18,12
2850,910.82,4483855489997,American Express,01/22,1
2855,870.95,4011556063013759,JCB 16 digit,02/18,1
2864,960.17,347925840994255,Voyager,12/17,1
2881,900.86,4171077016819,JCB 16 digit,06/20,1
2882,960.43,3158016053425559,Maestro,05/20,1
2908,780.12,345514672092446,Mastercard,05/19,1
2913,990.77,30207925019676,Mastercard,02/23,1
2927,890.98,180048205406854,VISA 16 digit,01/19,1
2930,900.53,370559056258426,JCB 16 digit,10/18,1
2931,730.41,5556812867191566,Voyager,02/21,1
2951,1090.99,4537682531238,Voyager,07/19,12
2953,740.03,6011399289227696,Maestro,09/18,1
2955,1160.52,4537390045109,JCB 16 digit,01/24,1
2957,1130.07,378860615851699,Diners Club / Carte Blanche,06/18,1
2961,1110.11,639050606362,JCB 15 digit,06/24,1
2963,1150.93,4119937126921918,JCB 16 digit,11/18,1
2969,820.56,30229745673268,JCB 16 digit,08/20,1
2971,700.17,4712815856225406,JCB 16 digit,05/18,1
2981,690.23,4607885202104769,Mastercard,02/21,1
2986,670.42,5537145605100076,Mastercard,07/22,12
3009,1180.04,30386928914834,VISA 16 digit,06/19,1
3010,920.68,630494439395,American Express,06/21,1
3014,620.63,3112692423058406,JCB 16 digit,07/21,1
3015,1110.77,4991482520572622,Mastercard,04/18,12
3020,1140.5,869929312756083,VISA 16 digit,05/18,1
3021,1060.7,3158988180282501,Discover,04/20,1
3039,850.64,374689472988706,JCB 15 digit,10/17,12
3041,1100.19,210034227406795,JCB 16 digit,11/18,1
3045,990.7,5496297206415145,JCB 16 digit,02/20,1
3050,920.54,4914878963749441,JCB 16 digit,03/24,12
3051,640.98,4010725842731,Maestro,12/18,1
3058,930.03,4807800069712,Maestro,11/19,12
3062,650.93,3096334786498214,Voyager,05/22,1
3085,1040.82,3337031162519808,Voyager,08/23,1
3100,660.84,346540697542973,Mastercard,10/19,12
3104,600.55,676180958834,JCB 15 digit,08/18,1
3107,800.38,4982830862769662,VISA 16 digit,05/18,1
3111,620.29,5449971962272548,American Express,01/19,1
3115,920.2,5220271856365549,JCB 15 digit,02/18,1
3119,1070.06,4834661733299427,VISA 16 digit,10/17,1
3120,860.15,589352041083,Voyager,09/23,1
3126,720.22,3112205908446994,American Express,06/23,1
3141,980.35,6011976216401674,Maestro,09/19,1
3149,840.03,210075281978914,JCB 15 digit,02/19,1
3165,1200.06,30516848707369,American Express,02/19,1
3204,750.73,4905706117133751,JCB 15 digit,06/18,1
3222,610.27,3528563488235874,Diners Club / Carte Blanche,09/21,12
3235,970.08,4432749146941,Discover,04/24,1
3240,1000.51,4784490241317,VISA 13 digit,12/18,12
3277,1140.72,4371058088059978,Maestro,02/18,1
3279,1170.95,3158565002581854,Discover,04/19,1
3280,850.77,639036665326,JCB 15 digit,11/21,1
3287,990.09,377551977064713,JCB 15 digit,12/18,1
3291,990.44,869927078573320,VISA 16 digit,04/19,1
3292,650.1,30323006730188,VISA 13 digit,07/18,12
3302,1190.75,30271130255384,Diners Club / Carte Blanche,09/23,1
3304,960.52,3528880761628579,Discover,11/20,1
3310,900.03,4228714172881876,JCB 15 digit,02/19,1
3317,800.53,30328544862237,VISA 13 digit,08/21,1
3328,1030.03,180020484145065,VISA 16 digit,10/20,12
3331,840.45,348400052883504,VISA 13 digit,04/19,1
3398,960.13,501865091851,VISA 16 digit,05/20,1
3400,600.39,30240805322969,American Express,06/19,1
3402,1200.48,676205544759,VISA 16 digit,08/20,12
3409,1020.98,3158480477102329,JCB 16 digit,09/18,12
3414,890.98,639007393197,VISA 16 digit,04/18,1
3438,850.3,4975317599222,VISA 16 digit,12/17,1
3443,840.08,30380850326695,VISA 13 digit,11/20,1
3448,960.59,180073658721823,Mastercard,12/25,1
