cout_prime,credit_card_number,credit_card_provider,credit_card_expire,freq_pmt
640.96,3158809234173100,JCB 16 digit,01/21,12
1011.0,341669575961388,Maestro,01/18,12
740.78,4643185975227,JCB 15 digit,12/21,12
800.9,4322950273585,Diners Club / Carte Blanche,07/22,1
1200.12,5533573081835580,American Express,08/22,12
1160.24,4769415929068370,Discover,12/18,12
1080.37,503802280977,Maestro,11/18,12
710.92,639025334264,Diners Club / Carte Blanche,03/19,12
910.74,5538189665165131,Maestro,01/24,12
600.18,4048388705811797,VISA 13 digit,07/24,1
1050.21,180022304792563,VISA 13 digit,05/21,12
870.38,4095979568666112,VISA 13 digit,12/19,12
1120.82,6011039569232095,JCB 16 digit,05/20,12
960.3,371708107759580,American Express,11/23,12
1150.34,30219678214156,VISA 16 digit,08/19,12
1170.08,3088543380550259,JCB 16 digit,10/22,1
930.02,372780553730158,JCB 16 digit,09/23,12
600.13,210032153591945,VISA 16 digit,04/20,1
820.41,3158332428888318,Mastercard,06/18,12
750.25,869974022425751,American Express,10/18,1
1200.63,561218908334,Mastercard,09/20,12
900.16,340854119712478,VISA 16 digit,12/25,12
1150.63,561236960176,JCB 15 digit,12/21,1
650.94,4628853678278,VISA 13 digit,03/18,12
980.94,5558642587962808,VISA 13 digit,04/22,12
1020.75,6011816279046109,Diners Club / Carte Blanche,01/21,1
940.41,4913819750100,JCB 16 digit,07/19,12
1160.85,6011896457251333,Mastercard,04/21,12
970.41,5182300539822422,Voyager,06/18,12
810.99,6011109192143678,VISA 16 digit,02/18,12
910.87,5198956821361197,Voyager,03/18,1
1120.69,4340548374059458,JCB 16 digit,10/19,12
640.78,210065414774025,Discover,02/20,12
910.23,210078188674776,Voyager,12/20,12
740.03,5187113687390125,Discover,12/21,12
640.92,5315751999966754,JCB 15 digit,09/24,12
670.38,4342474528637,JCB 15 digit,08/22,12
680.33,5120506309781425,American Express,05/18,12
1110.04,4159919763623,JCB 16 digit,05/19,12
1050.34,4029040214640,Diners Club / Carte Blanche,03/23,12
780.44,5357432303988490,VISA 13 digit,08/20,12
740.86,5276508804046843,JCB 16 digit,05/18,12
740.47,4755517812897157,VISA 16 digit,08/19,12
1090.1,4532611857505328,Diners Club / Carte Blanche,01/19,1
960.03,5171853787779051,VISA 16 digit,04/19,12
870.51,30035032661209,Voyager,04/21,12
1070.63,4381867131563945,American Express,08/21,1
800.62,3112440808974171,JCB 16 digit,09/19,12
1050.94,342983643192481,VISA 16 digit,11/20,12
1130.45,372136318362979,JCB 16 digit,11/24,12
770.67,5493833659962275,Voyager,10/27,12
830.42,589329537791,Diners Club / Carte Blanche,03/20,12
990.07,4039658516331271,VISA 13 digit,05/18,12
700.4,210031055282975,JCB 15 digit,12/24,12
980.96,675962701891,Voyager,12/26,12
1090.65,6011082729751075,JCB 16 digit,06/18,12
690.47,060490687567,Diners Club / Carte Blanche,12/21,1
880.46,30399189684384,Diners Club / Carte Blanche,11/18,1
1110.42,4150742508486120,Diners Club / Carte Blanche,02/19,12
660.8,30238201873429,Mastercard,12/18,12
890.88,30357720743317,Voyager,01/18,1
1170.22,869923324661605,JCB 15 digit,04/18,12
1170.64,869970265834873,Discover,09/18,12
660.87,378296377299886,Mastercard,08/26,12
1020.08,4092548092348,VISA 16 digit,11/18,12
980.53,210015349509731,JCB 15 digit,02/19,1
800.33,869989252250166,Discover,12/19,12
600.18,4599717343559,VISA 16 digit,05/19,12
1100.48,30599190560834,Diners Club / Carte Blanche,07/19,12
860.4,869943375461044,JCB 16 digit,06/24,12
820.5,4976632563547,JCB 16 digit,04/18,1
1100.29,4996327430307,Diners Club / Carte Blanche,06/18,12
1120.8,4425189275964,VISA 16 digit,11/22,12
1180.42,6011800576811415,JCB 16 digit,02/19,1
1060.38,3158323083718502,JCB 16 digit,01/18,12
1160.21,6011838567387284,VISA 13 digit,12/24,12
870.16,869983021168395,Maestro,01/21,1
860.83,4282477345359,VISA 13 digit,01/22,12
930.12,3528104190316304,Maestro,10/18,1
780.99,3337515694370789,VISA 16 digit,01/19,12
750.98,180003053231664,JCB 16 digit,09/18,12
850.9,371738440247563,Maestro,07/25,1
830.56,3096692713285495,American Express,06/19,12
860.92,5202347925180358,Voyager,05/20,12
940.11,3088122834323694,Diners Club / Carte Blanche,12/22,12
850.38,6011968955854742,VISA 13 digit,11/18,12
920.31,5496810728503584,Mastercard,10/18,12
1080.75,869904823751626,VISA 16 digit,04/22,12
1010.35,6011879876826596,Discover,12/18,12
840.53,4987382815276531,Mastercard,08/18,12
1110.51,3528448273706158,VISA 16 digit,08/18,12
1181.0,180070226380363,Mastercard,10/26,12
790.74,5289676072918046,Diners Club / Carte Blanche,09/20,12
930.77,4258325752943581,Voyager,10/22,12
1150.57,6011075496705720,Diners Club / Carte Blanche,11/25,12
940.45,30287131226133,VISA 16 digit,05/22,12
830.98,869940191235024,Maestro,09/18,12
1160.59,869957887118306,Voyager,02/22,1
820.97,210095072212729,American Express,11/18,12
800.84,676289920651,VISA 16 digit,11/25,1
1090.52,210075847628334,Voyager,01/19,12
900.96,4124508658617670,Diners Club / Carte Blanche,02/22,1
750.84,869914515092007,Mastercard,07/20,1
860.75,210093701581192,JCB 15 digit,04/18,12
731.0,675991271973,JCB 16 digit,06/20,12
790.7,210094205930075,Voyager,06/18,12
630.61,6011376919224947,JCB 16 digit,01/26,12
990.93,869940884387835,JCB 16 digit,09/21,12
920.8,6011914585788702,JCB 16 digit,02/18,1
1060.63,869904574800994,JCB 15 digit,05/23,1
910.22,3088228061103400,VISA 16 digit,04/18,12
810.7,5325772672306728,Discover,09/23,12
1180.04,4852163400066350,Discover,12/18,12
730.67,4320185865241,VISA 16 digit,07/19,12
1140.9,4889649962035053,VISA 13 digit,05/24,12
1040.26,4324733869770385,Diners Club / Carte Blanche,02/25,12
920.33,3096805134699041,JCB 15 digit,03/23,1
650.95,180012244970072,Diners Club / Carte Blanche,01/20,12
860.38,639061835398,Discover,03/18,12
1000.59,501887891015,JCB 15 digit,05/20,12
820.08,349363170374476,VISA 13 digit,01/18,12
780.03,4518383607212,Maestro,03/25,1
1180.69,869957255407174,Maestro,04/18,12
1000.58,348747073813781,JCB 16 digit,11/18,12
680.23,4292324836402258,VISA 16 digit,02/18,1
650.01,346344354631553,VISA 16 digit,09/19,12
850.89,503851145147,VISA 13 digit,12/22,12
1020.95,5407358629005430,Maestro,07/18,12
1150.4,344563403774625,Mastercard,03/23,12
1160.44,4059740338157582,Voyager,08/25,12
1090.71,180072150014380,VISA 13 digit,03/18,1
1050.64,869942872422814,Voyager,10/20,12
980.36,3096738009987938,Diners Club / Carte Blanche,08/19,12
610.14,3096067337484057,Discover,08/19,12
1110.1,4706618284229372,American Express,04/18,12
770.83,5299480489685332,American Express,05/20,12
860.14,3088658821886243,JCB 16 digit,04/21,12
980.96,6011218581353044,Voyager,12/18,12
930.63,30055932250325,JCB 16 digit,04/19,12
730.46,869973710899004,VISA 16 digit,03/18,1
1100.01,4083971645140,Discover,03/19,12
870.79,3528890889147576,JCB 16 digit,12/21,1
870.61,6011976982993235,Mastercard,01/19,12
1160.2,4713321845161520,Diners Club / Carte Blanche,12/22,12
810.1,676270732214,Mastercard,06/18,12
1040.42,5303142323839236,VISA 13 digit,11/22,12
600.07,3528172358529372,Discover,12/18,12
1010.72,6011174768636919,VISA 16 digit,12/25,12
660.99,4961370796756,Mastercard,03/20,12
940.32,4199277893611985,Voyager,08/20,12
1010.92,4095826013068,American Express,01/19,12
1070.79,4157522414131702,Voyager,08/18,1
890.62,210056899974206,VISA 16 digit,01/22,12
650.14,210089301044136,JCB 15 digit,10/19,1
1190.11,210039616843318,Maestro,03/19,12
720.63,4549571845868,JCB 16 digit,07/24,12
720.92,4311483758700490,Diners Club / Carte Blanche,02/24,12
960.4,348445213674490,Voyager,03/18,12
1080.45,4509977095724,American Express,12/22,1
880.11,180042111736017,Discover,03/22,1
940.17,4948772328106,Voyager,01/23,12
670.93,5277388527509966,VISA 16 digit,01/23,12
950.26,375623882189117,VISA 13 digit,01/19,12
700.46,346383090670723,VISA 13 digit,09/20,12
1110.88,180002411937954,JCB 16 digit,11/19,12
790.68,30257618926547,JCB 16 digit,03/18,1
1000.89,676150222278,American Express,12/21,12
1110.8,341807197130699,VISA 13 digit,04/22,1
690.04,676367677744,VISA 13 digit,04/21,12
630.54,30259462246170,American Express,10/22,12
1090.59,869931113410712,JCB 15 digit,04/18,1
880.36,3337509902423134,American Express,03/24,12
710.05,501870244479,JCB 16 digit,07/25,12
1090.96,3112370797364219,Discover,03/23,12
1050.44,6011336772740298,Voyager,10/19,12
1170.32,501828452109,VISA 16 digit,07/18,12
1100.78,3528198038564497,JCB 16 digit,07/19,12
870.42,676284455836,Discover,10/18,12
1140.72,210014175635926,American Express,03/18,12
600.6,210018763439401,Maestro,01/21,12
1180.08,6011120882187875,JCB 16 digit,06/20,12
1120.76,5352815349905715,Mastercard,10/23,12
1190.2,4941733409839826,Discover,01/23,12
770.65,3088741856148232,Voyager,06/20,1
690.64,3096386690630688,VISA 13 digit,12/20,12
930.97,4958698018377825,VISA 16 digit,06/24,12
1060.41,4623090612784,VISA 16 digit,07/18,12
840.83,3337409824607577,Discover,08/20,12
730.67,3112794614402789,JCB 16 digit,11/20,12
680.32,5434732463570781,Voyager,06/19,12
890.51,4335974062028653,JCB 16 digit,12/22,12
880.61,4673818076705337,Discover,01/22,12
740.1,30049256833402,JCB 16 digit,02/21,12
690.14,676103179351,Diners Club / Carte Blanche,05/19,12
1200.45,4034106496404,American Express,05/18,12
1130.07,676316963674,Voyager,10/20,12
1110.65,210031896642809,JCB 16 digit,10/18,12
860.86,4048400453389478,American Express,12/21,12
970.64,30100395704481,JCB 16 digit,10/18,12
1040.96,3088832551843274,Maestro,02/21,1
970.85,561210438975,Diners Club / Carte Blanche,04/24,12
800.83,4702067818705,Mastercard,10/20,12
620.13,4044636513984220,Discover,01/18,12
670.58,376173600368659,Voyager,02/23,1
1130.15,6011730222966125,Discover,03/20,12
1050.56,345622915037829,Voyager,06/21,1
1020.18,869977498391621,American Express,03/21,12
780.41,377062134100598,JCB 15 digit,01/24,12
620.06,210045165678773,Discover,12/18,12
600.16,869906521060234,Maestro,03/21,12
1190.47,4614302287481,Mastercard,05/23,12
670.95,210072411967628,Voyager,11/22,1
630.2,4542164748106615,JCB 16 digit,09/18,12
1090.46,869957168673565,Diners Club / Carte Blanche,01/19,12
690.12,3158889896873189,Maestro,03/22,12
800.61,6011128656900365,JCB 15 digit,03/21,12
780.96,4753600372482917,Discover,08/23,12
1180.83,345463102202847,Mastercard,06/26,12
930.34,6011181076188764,Diners Club / Carte Blanche,04/25,12
760.66,376765367672098,American Express,04/18,12
1050.44,4424629934363,Discover,10/18,12
1060.36,3158501731483054,VISA 13 digit,05/25,12
690.64,5102527736326800,VISA 16 digit,05/19,1
990.89,5562674224361734,VISA 13 digit,11/23,12
760.67,4855131407564,VISA 13 digit,01/21,12
1110.73,210003066676842,VISA 13 digit,10/22,12
1200.58,4743552896245820,Maestro,09/20,1
600.05,4187266869370,American Express,11/23,12
1050.2,180000873993127,Voyager,08/18,1
850.84,30550886253762,American Express,08/18,12
980.79,3337338891452700,Voyager,07/19,12
1070.7,30430107787288,Mastercard,06/18,1
870.34,3112700152321497,Mastercard,08/20,1
610.57,30449365705246,Voyager,05/18,12
670.66,4364401662256116,VISA 16 digit,12/19,1
890.89,3096084761583478,Diners Club / Carte Blanche,12/21,12
900.68,3088291649424615,JCB 16 digit,07/18,12
910.72,5102753808039523,JCB 15 digit,07/23,1
890.12,6011996601006144,VISA 13 digit,09/23,12
780.91,6011641168789308,Diners Club / Carte Blanche,02/18,12
1170.46,6011466010894159,Discover,08/19,12
1170.16,210073507859711,VISA 13 digit,07/24,12
1000.74,3528427843167943,Discover,07/21,12
870.65,30512300324421,VISA 16 digit,07/19,12
660.68,869939600041296,Mastercard,10/21,12
790.15,374740635850166,Maestro,02/18,12
790.24,180027209379093,VISA 16 digit,08/18,12
920.68,4439787365481,JCB 15 digit,10/18,12
1200.8,4615902802374682,JCB 16 digit,05/21,12
1110.35,30441678503582,JCB 16 digit,12/19,12
1150.91,4849614652856597,Diners Club / Carte Blanche,05/18,12
600.41,6011064790592208,American Express,04/20,12
680.26,4179246156853,Voyager,09/24,12
1150.47,6011491407155063,JCB 16 digit,12/21,12
980.7,3528284013914947,VISA 16 digit,09/24,12
1120.43,676167080107,Diners Club / Carte Blanche,10/23,12
1100.09,3528899045527753,JCB 16 digit,05/18,12
810.39,4374217236641239,JCB 15 digit,09/20,12
1120.83,4213941041166422,VISA 13 digit,04/18,1
930.82,4836768364039,JCB 16 digit,11/20,12
1030.72,502005469361,Diners Club / Carte Blanche,09/21,12
1050.41,4258371450198227,JCB 16 digit,02/19,12
660.89,6011281758151112,Maestro,09/22,12
1090.43,378114873555646,Diners Club / Carte Blanche,02/18,12
1080.47,5147473272657026,Discover,05/20,12
730.58,379979138568116,VISA 13 digit,07/22,12
850.88,6011890836726586,JCB 16 digit,02/25,12
1180.37,30539917172182,VISA 16 digit,03/24,12
1080.87,180060335120669,Maestro,02/18,12
1190.35,3337654604950669,VISA 16 digit,04/18,12
680.41,4229835601270271,VISA 16 digit,01/19,12
1150.68,4113369769787982,Discover,04/21,1
920.53,676277704323,Diners Club / Carte Blanche,07/18,12
820.64,3158717662768194,Discover,10/23,12
1170.89,30271186126430,Maestro,05/20,1
880.31,6011464163004734,Discover,10/22,1
700.96,4069981918874,Voyager,11/21,12
830.51,3337397152970891,VISA 16 digit,12/20,12
1120.69,5197965457732499,JCB 16 digit,01/23,12
810.1,4841365748493,Voyager,03/18,12
820.39,4500030122092,VISA 16 digit,07/22,12
1030.78,5113844743471744,JCB 15 digit,06/18,12
760.25,4268938484410444,Mastercard,11/27,12
1190.05,5201897976149166,JCB 15 digit,01/26,12
780.74,379836091881367,Discover,02/18,12
900.92,341750903111621,VISA 13 digit,11/20,12
600.3,4310451713921247,Discover,10/19,12
790.19,869947346373360,American Express,01/21,12
1070.91,30299503423826,Diners Club / Carte Blanche,02/22,12
710.11,4119318542444209,VISA 16 digit,08/21,1
790.28,4370662057853,VISA 16 digit,05/21,1
1040.16,4379814990800996,VISA 16 digit,04/18,12
670.93,3088708473502919,Discover,12/21,12
1140.84,30063269517332,Discover,06/20,1
920.3,503891874136,VISA 13 digit,01/22,12
860.66,4916219356712035,Voyager,07/19,12
760.29,3158687927132470,JCB 15 digit,03/21,12
940.3,5406153337613539,American Express,12/23,12
1070.16,5408343704082420,VISA 16 digit,05/19,1
1150.13,3096873950689041,VISA 16 digit,03/18,12
690.45,4670533715548872,VISA 16 digit,11/27,12
820.23,30593875373852,VISA 16 digit,11/24,12
660.14,4370656033800502,Discover,03/27,12
640.71,639030281237,American Express,06/19,12
610.3,4231818798413934,Maestro,01/24,1
1160.81,4215071448617,JCB 15 digit,08/22,1
1020.16,3096089873911749,Discover,02/18,12
930.37,376652019922040,Mastercard,12/20,1
1000.76,869904641624526,Maestro,01/18,12
1070.13,3158463652436126,VISA 16 digit,01/19,12
810.4,4887489333985,VISA 13 digit,07/18,12
910.48,4136390186634709,Maestro,11/18,12
1030.8,589306488869,JCB 15 digit,02/21,1
1120.62,4637923318450,JCB 16 digit,05/26,12
630.18,30492523230699,JCB 15 digit,03/23,12
860.15,6011981579639555,Voyager,12/19,12
950.98,4190105840429939,JCB 15 digit,08/20,12
1070.09,30407572352111,American Express,03/23,12
1010.55,180014624890201,Discover,12/23,12
1200.44,4063665362929198,Voyager,12/19,1
910.27,4437687194217,Diners Club / Carte Blanche,11/21,12
1070.65,180073480839363,Diners Club / Carte Blanche,01/20,12
870.15,6011432453040882,VISA 16 digit,08/23,12
630.15,4682162770828429,Maestro,08/22,12
830.24,4206803283123439,JCB 16 digit,02/19,12
670.35,869994450137322,VISA 16 digit,12/18,12
750.84,30432199609750,Voyager,11/21,12
900.44,3158605430256412,Maestro,02/19,12
840.48,6011574476467004,VISA 13 digit,07/19,12
740.22,210040197394341,VISA 16 digit,11/27,12
900.4,3112806424616828,Voyager,03/18,1
710.2,4945717450316889,Mastercard,12/18,12
720.19,4236113683003,Maestro,09/18,12
1090.34,3158550193655600,JCB 15 digit,04/18,12
1200.57,561265388125,VISA 13 digit,02/23,12
870.04,5196568631208393,Voyager,08/21,1
820.05,4803001350021233,Mastercard,11/19,12
890.35,4699472810939008,Diners Club / Carte Blanche,01/20,12
780.34,378544845130369,Voyager,05/22,1
1130.7,6011977009851380,American Express,12/20,12
990.54,4903869143751376,Maestro,11/20,12
710.46,4295183790288,JCB 16 digit,09/19,1
720.94,5107781149349777,Diners Club / Carte Blanche,04/18,12
600.09,630470664347,VISA 16 digit,07/18,12
620.26,4012927371873,Discover,06/19,12
1000.06,3337696041035687,JCB 16 digit,11/23,12
1190.91,4526154472211,JCB 16 digit,04/18,12
1090.25,3158453920799744,JCB 15 digit,09/25,12
1190.21,210060416388825,VISA 16 digit,04/18,12
970.96,345359393093830,JCB 16 digit,10/18,12
960.37,5593430900055147,Voyager,02/21,1
860.64,502023401883,Diners Club / Carte Blanche,07/19,12
770.98,4386626043092145,Voyager,10/20,12
600.25,5195611350348718,VISA 16 digit,04/19,12
1100.18,4261710601947179,Maestro,02/22,1
